,Application#,Application Type,Date,Status,ProjectName
7,22 220241 PLB 00,Plumbing(PS),"Oct 25, 2022",Inspection,777 BAY ST
8,22 220241 BLD 00,Building Additions/Alterations,"Oct 21, 2022",Inspection,777 BAY ST
9,21 118144 PLB 01,Plumbing(PS),"Oct 29, 2021",Revision Issued,777 BAY ST
10,21 118144 PLB 00,Plumbing(PS),"Feb 22, 2021",Inspection,777 BAY ST
11,18 247265 BLD 00,Building Additions/Alterations,"Oct 24, 2018",Inspection,777 BAY ST
12,18 213264 BLD 00,Building Additions/Alterations,"Aug 22, 2018",Inspection,777 BAY ST
13,18 213264 HVA 00,Mechanical(MS),"Aug 22, 2018",Inspection,777 BAY ST
14,18 213264 PLB 00,Plumbing(PS),"Aug 22, 2018",Inspection,777 BAY ST
15,18 213271 BLD 00,Building Additions/Alterations,"Aug 22, 2018",Inspection,777 BAY ST
16,18 213271 PLB 00,Plumbing(PS),"Aug 22, 2018",Inspection,777 BAY ST
17,18 209259 HVA 00,Mechanical(MS),"Aug 22, 2018",Inspection,777 BAY ST
18,18 209259 BLD 00,Building Additions/Alterations,"Aug 15, 2018",Inspection,777 BAY ST
19,18 186130 BLD 00,Building Additions/Alterations,"Jul 26, 2018",Permit Issued,777 BAY ST
20,17 265774 FSU 00,Fire/Security Upgrade,"Nov 23, 2017",Inspection,777 BAY ST
21,17 247149 BLD 00,Building Additions/Alterations,"Oct 16, 2017",Permit Issued,777 BAY ST
22,17 247149 HVA 00,Mechanical(MS),"Oct 16, 2017",Permit Issued,777 BAY ST
23,17 156886 HVA 00,Mechanical(MS),"May 12, 2017",Permit Issued,777 BAY ST
24,17 106303 BLD 00,Building Additions/Alterations,"Jan 19, 2017",Permit Issued,777 BAY ST
25,17 106303 HVA 00,Mechanical(MS),"Jan 19, 2017",Permit Issued,777 BAY ST
26,14 262583 HVA 00,Mechanical(MS),"Dec 10, 2014",Inspection,777 BAY ST
27,14 195317 BLD 00,Building Additions/Alterations,"Jul 24, 2014",Inspection,777 BAY ST
0,22 169018 BLD 00,Building Additions/Alterations,"Jul 13, 2022",Permit Issued,790 BAY ST
1,22 169018 HVA 00,Mechanical(MS),"Jul 13, 2022",Permit Issued,790 BAY ST
2,22 169018 PLB 00,Plumbing(PS),"Jul 13, 2022",Permit Issued,790 BAY ST
3,21 211061 PSA 00,Plumbing(PS),"Sep 14, 2021",Inspection,790 BAY ST
4,19 142279 BLD 01,Building Additions/Alterations,"Jan 16, 2020",Revision Issued,790 BAY ST
5,19 142279 PLB 01,Plumbing(PS),"Jan 16, 2020",Revision Issued,790 BAY ST
6,19 142279 HVA 01,Mechanical(MS),"Jan 16, 2020",Revision Issued,790 BAY ST
7,19 229337 MSA 00,Mechanical(MS),"Oct 1, 2019",Inspection,790 BAY ST
8,19 157771 HVA 00,Mechanical(MS),"May 24, 2019",Permit Issued,790 BAY ST
9,19 157771 PLB 00,Plumbing(PS),"May 24, 2019",Permit Issued,790 BAY ST
10,19 157771 BLD 00,Building Additions/Alterations,"May 23, 2019",Permit Issued,790 BAY ST
11,19 142279 HVA 00,Mechanical(MS),"Apr 23, 2019",Permit Issued,790 BAY ST
12,19 142279 PLB 00,Plumbing(PS),"Apr 23, 2019",Permit Issued,790 BAY ST
13,19 142279 BLD 00,Building Additions/Alterations,"Apr 18, 2019",Permit Issued,790 BAY ST
14,17 224202 HVA 02,Mechanical(MS),"Feb 8, 2019",Revision Issued,790 BAY ST
15,17 224202 PLB 02,Plumbing(PS),"Feb 8, 2019",Revision Issued,790 BAY ST
16,18 184851 BLD 01,Building Additions/Alterations,"Dec 11, 2018",Revision Issued,790 BAY ST
17,18 184851 BLD 00,Building Additions/Alterations,"Jun 27, 2018",Inspection,790 BAY ST
18,18 184851 PLB 00,Plumbing(PS),"Jun 27, 2018",Inspection,790 BAY ST
19,18 114262 BLD 00,Building Additions/Alterations,"Feb 6, 2018",Permit Issued,790 BAY ST
20,18 114262 HVA 00,Mechanical(MS),"Feb 6, 2018",Permit Issued,790 BAY ST
21,18 114262 PLB 00,Plumbing(PS),"Feb 6, 2018",Permit Issued,790 BAY ST
22,17 224202 BLD 01,Building Additions/Alterations,"Nov 7, 2017",Revision Issued,790 BAY ST
23,17 224202 PLB 01,Plumbing(PS),"Nov 7, 2017",Revision Issued,790 BAY ST
24,17 224202 HVA 01,Mechanical(MS),"Nov 7, 2017",Revision Issued,790 BAY ST
25,17 241160 BLD 00,Building Additions/Alterations,"Oct 2, 2017",Inspection,790 BAY ST
26,17 224202 HVA 00,Mechanical(MS),"Sep 6, 2017",Permit Issued,790 BAY ST
27,17 224202 PLB 00,Plumbing(PS),"Sep 6, 2017",Permit Issued,790 BAY ST
28,17 224202 BLD 00,Building Additions/Alterations,"Sep 1, 2017",Permit Issued,790 BAY ST
29,17 127008 HVA 00,Mechanical(MS),"Mar 13, 2017",Inspection,790 BAY ST
30,17 127008 PLB 00,Plumbing(PS),"Mar 13, 2017",Inspection,790 BAY ST
31,17 125227 HVA 00,Mechanical(MS),"Mar 7, 2017",Inspection,790 BAY ST
32,17 125227 PLB 00,Plumbing(PS),"Mar 7, 2017",Inspection,790 BAY ST
33,16 223782 HVA 00,Mechanical(MS),"Oct 6, 2016",Inspection,790 BAY ST
34,16 222071 BLD 00,Building Additions/Alterations,"Sep 13, 2016",Permit Issued,790 BAY ST
35,16 222071 HVA 00,Mechanical(MS),"Sep 13, 2016",Permit Issued,790 BAY ST
36,16 222071 PLB 00,Plumbing(PS),"Sep 13, 2016",Permit Issued,790 BAY ST
37,16 172949 HVA 00,Mechanical(MS),"Jun 15, 2016",Inspection,790 BAY ST
38,16 172949 PLB 00,Plumbing(PS),"Jun 15, 2016",Inspection,790 BAY ST
39,16 172949 BLD 00,Building Additions/Alterations,"Jun 13, 2016",Inspection,790 BAY ST
40,16 132224 HVA 00,Mechanical(MS),"Apr 1, 2016",Inspection,790 BAY ST
41,16 132224 PLB 00,Plumbing(PS),"Apr 1, 2016",Inspection,790 BAY ST
42,16 100745 HVA 01,Mechanical(MS),"Mar 14, 2016",Revision Issued,790 BAY ST
43,16 122990 BLD 00,Building Additions/Alterations,"Mar 2, 2016",Inspection,790 BAY ST
44,16 122990 HVA 00,Mechanical(MS),"Mar 2, 2016",Permit Issued,790 BAY ST
45,16 122990 PLB 00,Plumbing(PS),"Mar 2, 2016",Inspection,790 BAY ST
46,16 100745 HVA 00,Mechanical(MS),"Jan 6, 2016",Inspection,790 BAY ST
47,15 257781 HVA 00,Mechanical(MS),"Nov 30, 2015",Permit Issued,790 BAY ST
48,15 257781 PLB 00,Plumbing(PS),"Nov 30, 2015",Permit Issued,790 BAY ST
49,15 244513 HVA 00,Mechanical(MS),"Nov 17, 2015",Permit Issued,790 BAY ST
50,15 223331 HVA 00,Mechanical(MS),"Sep 16, 2015",Inspection,790 BAY ST
51,15 176018 HVA 00,Mechanical(MS),"Jun 18, 2015",Inspection,790 BAY ST
52,15 176018 PLB 00,Plumbing(PS),"Jun 18, 2015",Inspection,790 BAY ST
53,15 153627 HVA 00,Mechanical(MS),"May 8, 2015",Inspection,790 BAY ST
54,15 124849 HVA 00,Mechanical(MS),"Mar 9, 2015",Permit Issued,790 BAY ST
55,15 124849 PLB 00,Plumbing(PS),"Mar 9, 2015",Inspection,790 BAY ST
56,14 191184 BLD 00,Building Additions/Alterations,"Jul 16, 2014",Permit Issued,790 BAY ST
57,14 191184 HVA 00,Mechanical(MS),"Jul 16, 2014",Permit Issued,790 BAY ST
58,14 191184 PLB 00,Plumbing(PS),"Jul 16, 2014",Permit Issued,790 BAY ST
0,22 198391 HVA 00,Mechanical(MS),"Sep 8, 2022",Permit Issued,800 BAY ST
1,22 198391 PLB 00,Plumbing(PS),"Sep 2, 2022",Permit Issued,800 BAY ST
2,22 198391 BLD 00,Building Additions/Alterations,"Sep 1, 2022",Inspection,800 BAY ST
3,22 188576 BLD 00,Building Additions/Alterations,"Aug 11, 2022",Inspection,800 BAY ST
4,21 103351 HVA 00,Mechanical(MS),"Jan 21, 2021",Inspection,800 BAY ST
5,17 154346 BLD 00,Building Additions/Alterations,"May 4, 2017",Inspection,800 BAY ST
6,15 262370 BLD 00,Building Additions/Alterations,"Dec 8, 2015",Permit Issued,800 BAY ST
7,15 238651 BLD 00,Building Additions/Alterations,"Oct 16, 2015",Permit Issued,800 BAY ST
0,22 115674 DST 00,Designated Structures,"Feb 23, 2022",Permit Issued,825 BAY ST
1,22 115674 SGN 00,Sign Permit,"Feb 18, 2022",Inspection,825 BAY ST
2,22 111056 BLD 00,Building Additions/Alterations,"Feb 7, 2022",Inspection,825 BAY ST
3,22 111056 HVA 00,Mechanical(MS),"Feb 7, 2022",Inspection,825 BAY ST
4,22 111056 PLB 00,Plumbing(PS),"Feb 7, 2022",Inspection,825 BAY ST
0,22 179995 MSA 00,Mechanical(MS),"Jul 21, 2022",Permit Issued,832 BAY ST
1,17 209834 BLD 00,Building Additions/Alterations,"Aug 14, 2017",Inspection,832 BAY ST
2,14 191277 BLD 00,Building Additions/Alterations,"Jul 18, 2014",Inspection,832 BAY ST
0,14 152152 BLD 00,Building Additions/Alterations,"May 6, 2014",Permit Issued,877 BAY ST
0,22 122138 BLD 00,Building Additions/Alterations,"Mar 15, 2022",Inspection,879 BAY ST
1,22 122138 HVA 00,Mechanical(MS),"Mar 15, 2022",Permit Issued,879 BAY ST
2,22 122138 PLB 00,Plumbing(PS),"Mar 15, 2022",Inspection,879 BAY ST
3,18 243439 HVA 00,Mechanical(MS),"Oct 18, 2018",Permit Issued,879 BAY ST
4,18 243439 PLB 00,Plumbing(PS),"Oct 18, 2018",Permit Issued,879 BAY ST
5,18 243439 BLD 00,Building Additions/Alterations,"Oct 16, 2018",Permit Issued,879 BAY ST
6,15 110707 HVA 00,Mechanical(MS),"Feb 3, 2015",Inspection,879 BAY ST
7,15 110707 PLB 00,Plumbing(PS),"Feb 3, 2015",Inspection,879 BAY ST
8,15 110707 BLD 00,Building Additions/Alterations,"Jan 30, 2015",Inspection,879 BAY ST
9,14 180035 BLD 00,Building Additions/Alterations,"Jun 25, 2014",Inspection,879 BAY ST
10,14 180035 HVA 00,Mechanical(MS),"Jun 25, 2014",Inspection,879 BAY ST
11,14 152152 BLD 00,Building Additions/Alterations,"May 6, 2014",Permit Issued,879 BAY ST
0,17 141078 PSA 00,Plumbing(PS),"Apr 7, 2017",Inspection,887 BAY ST
0,20 113679 BLD 07,Building Additions/Alterations,"Mar 3, 2023",Revision Issued,900 BAY ST
1,20 113679 BLD 06,Building Additions/Alterations,"Feb 28, 2023",Revision Issued,900 BAY ST
2,20 113679 BLD 05,Building Additions/Alterations,"Jan 26, 2023",Revision Issued,900 BAY ST
3,20 113679 BLD 03,Building Additions/Alterations,"Jan 23, 2023",Revision Issued,900 BAY ST
4,20 113679 BLD 04,Building Additions/Alterations,"Jan 23, 2023",Revision Issued,900 BAY ST
5,20 113679 BLD 02,Building Additions/Alterations,"Jan 20, 2023",Revision Issued,900 BAY ST
6,20 113679 BLD 01,Building Additions/Alterations,"Dec 14, 2022",Revision Issued,900 BAY ST
7,22 195933 FSU 00,Fire/Security Upgrade,"Sep 2, 2022",Permit Issued,900 BAY ST
8,20 113679 PLB 01,Plumbing(PS),"Jun 24, 2022",Revision Issued,900 BAY ST
9,19 254132 BLD 04,Building Additions/Alterations,"Jun 24, 2022",Revision Issued,900 BAY ST
10,19 254132 BLD 03,Building Additions/Alterations,"Dec 9, 2021",Revision Issued,900 BAY ST
11,20 113679 DRN 00,Drain and Site Service,"Aug 25, 2021",Inspection,900 BAY ST
12,19 210350 DEM 03,Demolition Folder (DM),"Aug 23, 2021",Revision Issued,900 BAY ST
13,19 210350 DEM 02,Demolition Folder (DM),"Apr 28, 2021",Revision Issued,900 BAY ST
14,21 106329 BLD 00,Building Additions/Alterations,"Jan 20, 2021",Inspection,900 BAY ST
15,19 254132 BLD 02,Building Additions/Alterations,"Nov 26, 2020",Revision Issued,900 BAY ST
16,19 254132 BLD 01,Building Additions/Alterations,"Sep 24, 2020",Revision Issued,900 BAY ST
17,19 210350 DEM 01,Demolition Folder (DM),"Jun 22, 2020",Revision Issued,900 BAY ST
18,20 113679 STS 00,Drain and Site Service,"Mar 11, 2020",Inspection,900 BAY ST
19,20 113679 HVA 00,Mechanical(MS),"Feb 21, 2020",Inspection,900 BAY ST
20,20 113679 PLB 00,Plumbing(PS),"Feb 21, 2020",Inspection,900 BAY ST
21,20 113679 BLD 00,Building Additions/Alterations,"Feb 19, 2020",Inspection,900 BAY ST
22,19 254132 BLD 00,Building Additions/Alterations,"Dec 9, 2019",Inspection,900 BAY ST
23,19 210350 DEM 00,Demolition Folder (DM),"Sep 19, 2019",Inspection,900 BAY ST
24,17 193719 BLD 00,Building Additions/Alterations,"Jul 7, 2017",Inspection,900 BAY ST
25,17 185794 BLD 00,Building Additions/Alterations,"Jun 28, 2017",Inspection,900 BAY ST
26,16 239989 HVA 00,Mechanical(MS),"Nov 3, 2016",Inspection,900 BAY ST
27,16 239989 BLD 00,Building Additions/Alterations,"Oct 25, 2016",Inspection,900 BAY ST
28,16 134588 HVA 00,Mechanical(MS),"Apr 4, 2016",Permit Issued,900 BAY ST
29,16 101475 HVA 00,Mechanical(MS),"Jan 7, 2016",Permit Issued,900 BAY ST
30,16 101475 PLB 00,Plumbing(PS),"Jan 7, 2016",Permit Issued,900 BAY ST
31,15 227397 PLB 00,Plumbing(PS),"Sep 29, 2015",Inspection,900 BAY ST
32,15 227397 BLD 00,Building Additions/Alterations,"Sep 28, 2015",Inspection,900 BAY ST
33,15 211470 HVA 00,Mechanical(MS),"Sep 2, 2015",Permit Issued,900 BAY ST
34,15 211470 BLD 00,Building Additions/Alterations,"Sep 1, 2015",Permit Issued,900 BAY ST
35,15 212486 HVA 00,Mechanical(MS),"Aug 28, 2015",Permit Issued,900 BAY ST
36,15 212486 BLD 00,Building Additions/Alterations,"Aug 25, 2015",Permit Issued,900 BAY ST
37,15 206459 BLD 00,Building Additions/Alterations,"Aug 14, 2015",Inspection,900 BAY ST
38,15 206459 PLB 00,Plumbing(PS),"Aug 14, 2015",Inspection,900 BAY ST
39,15 194186 HVA 00,Mechanical(MS),"Jul 22, 2015",Permit Issued,900 BAY ST
40,15 194186 BLD 00,Building Additions/Alterations,"Jul 21, 2015",Permit Issued,900 BAY ST
41,15 191819 BLD 00,Building Additions/Alterations,"Jul 20, 2015",Inspection,900 BAY ST
42,15 175843 BLD 00,Building Additions/Alterations,"Jun 25, 2015",Permit Issued,900 BAY ST
43,15 150948 BLD 00,Building Additions/Alterations,"May 4, 2015",Inspection,900 BAY ST
44,15 150948 HVA 00,Mechanical(MS),"May 4, 2015",Permit Issued,900 BAY ST
45,15 150948 PLB 00,Plumbing(PS),"May 4, 2015",Permit Issued,900 BAY ST
46,15 136020 HVA 00,Mechanical(MS),"Apr 8, 2015",Permit Issued,900 BAY ST
47,15 136020 PLB 00,Plumbing(PS),"Apr 8, 2015",Permit Issued,900 BAY ST
48,15 136020 BLD 00,Building Additions/Alterations,"Apr 2, 2015",Permit Issued,900 BAY ST
49,15 120094 HVA 00,Mechanical(MS),"Feb 23, 2015",Permit Issued,900 BAY ST
50,14 257004 HVA 00,Mechanical(MS),"Nov 26, 2014",Permit Issued,900 BAY ST
51,14 257004 PLB 00,Plumbing(PS),"Nov 26, 2014",Permit Issued,900 BAY ST
52,14 227274 PSA 00,Plumbing(PS),"Sep 30, 2014",Permit Issued,900 BAY ST
53,14 174839 BLD 00,Building Additions/Alterations,"Jun 16, 2014",Inspection,900 BAY ST
54,14 174839 HVA 00,Mechanical(MS),"Jun 16, 2014",Permit Issued,900 BAY ST
55,14 143980 HVA 00,Mechanical(MS),"Apr 23, 2014",Permit Issued,900 BAY ST
56,14 143980 BLD 00,Building Additions/Alterations,"Apr 17, 2014",Inspection,900 BAY ST
57,14 140509 BLD 00,Building Additions/Alterations,"Apr 11, 2014",Inspection,900 BAY ST
58,14 133805 HVA 00,Mechanical(MS),"Mar 28, 2014",Permit Issued,900 BAY ST
59,14 133805 BLD 00,Building Additions/Alterations,"Mar 27, 2014",Work Not Started,900 BAY ST
60,14 124269 BLD 00,Building Additions/Alterations,"Mar 4, 2014",Inspection,900 BAY ST
61,14 124269 HVA 00,Mechanical(MS),"Mar 4, 2014",Permit Issued,900 BAY ST
62,14 108637 HVA 00,Mechanical(MS),"Jan 24, 2014",Permit Issued,900 BAY ST
63,14 108637 BLD 00,Building Additions/Alterations,"Jan 23, 2014",Inspection,900 BAY ST
64,14 107652 FSU 00,Fire/Security Upgrade,"Jan 22, 2014",Inspection,900 BAY ST
65,14 105535 BLD 00,Building Additions/Alterations,"Jan 16, 2014",Inspection,900 BAY ST
66,13 276205 BLD 00,Building Additions/Alterations,"Dec 10, 2013",Work Not Started,900 BAY ST
67,13 276205 HVA 00,Mechanical(MS),"Dec 10, 2013",Permit Issued,900 BAY ST
68,13 264711 BLD 00,Building Additions/Alterations,"Nov 13, 2013",Inspection,900 BAY ST
69,13 261213 BLD 00,Building Additions/Alterations,"Nov 5, 2013",Inspection,900 BAY ST
70,13 261213 PLB 00,Plumbing(PS),"Nov 5, 2013",Permit Issued,900 BAY ST
71,13 238458 HVA 00,Mechanical(MS),"Sep 19, 2013",Permit Issued,900 BAY ST
72,13 237595 BLD 00,Building Additions/Alterations,"Sep 18, 2013",Inspection,900 BAY ST
73,13 223153 HVA 00,Mechanical(MS),"Aug 20, 2013",Inspection,900 BAY ST
74,13 191618 HVA 00,Mechanical(MS),"Jun 20, 2013",Permit Issued,900 BAY ST
0,13 183780 BLD 00,Building Additions/Alterations,"Jun 7, 2013",Inspection,905 BAY ST
0,17 236317 BLD 00,Building Additions/Alterations,"Sep 21, 2017",Inspection,915 BAY ST
0,18 145759 PLB 00,Plumbing(PS),"Apr 26, 2018",Inspection,925 BAY ST
1,16 230712 STS 00,Drain and Site Service,"Sep 30, 2016",Inspection,925 BAY ST
2,15 137494 BLD 00,Building Additions/Alterations,"Apr 10, 2015",Permit Issued,925 BAY ST
0,22 104828 DST 00,Designated Structures,"Jan 19, 2022",Permit Issued,951 BAY ST
1,22 104828 SGN 00,Sign Permit,"Jan 18, 2022",Permit Issued,951 BAY ST
2,21 182435 BLD 00,Building Additions/Alterations,"Jul 29, 2021",Inspection,951 BAY ST
3,21 182435 HVA 00,Mechanical(MS),"Jul 29, 2021",Inspection,951 BAY ST
4,21 182435 PLB 00,Plumbing(PS),"Jul 29, 2021",Inspection,951 BAY ST
5,19 263380 BLD 00,Building Additions/Alterations,"Dec 19, 2019",Permit Issued,951 BAY ST
6,19 263380 HVA 00,Mechanical(MS),"Dec 19, 2019",Permit Issued,951 BAY ST
7,19 263380 PLB 00,Plumbing(PS),"Dec 19, 2019",Permit Issued,951 BAY ST
8,14 126064 BLD 02,Building Additions/Alterations,"Oct 6, 2016",Revision Issued,951 BAY ST
9,14 126064 BLD 00,Building Additions/Alterations,"Mar 14, 2014",Inspection,951 BAY ST
0,22 104828 DST 00,Designated Structures,"Jan 19, 2022",Permit Issued,955 BAY ST
1,22 104828 SGN 00,Sign Permit,"Jan 18, 2022",Permit Issued,955 BAY ST
2,14 126064 BLD 02,Building Additions/Alterations,"Oct 6, 2016",Revision Issued,955 BAY ST
3,14 126064 BLD 00,Building Additions/Alterations,"Mar 14, 2014",Inspection,955 BAY ST
0,21 148336 HVA 00,Mechanical(MS),"May 4, 2021",Inspection,997 BAY ST
1,17 261726 MSA 00,Mechanical(MS),"Nov 15, 2017",Inspection,997 BAY ST
2,17 159309 MSA 00,Mechanical(MS),"May 15, 2017",Permit Issued,997 BAY ST
3,14 221389 BLD 00,Building Additions/Alterations,"Sep 12, 2014",Inspection,997 BAY ST
4,14 221389 PLB 00,Plumbing(PS),"Sep 12, 2014",Inspection,997 BAY ST
5,13 271917 BLD 00,Building Additions/Alterations,"Dec 2, 2013",Inspection,997 BAY ST
6,13 271917 HVA 00,Mechanical(MS),"Dec 2, 2013",Permit Issued,997 BAY ST
7,13 271917 PLB 00,Plumbing(PS),"Dec 2, 2013",Permit Issued,997 BAY ST
0,20 213830 PLB 00,Plumbing(PS),"Nov 3, 2020",Inspection,1000 BAY ST
1,17 265220 HVA 00,Mechanical(MS),"Nov 21, 2017",Inspection,1000 BAY ST
2,17 176257 HVA 00,Mechanical(MS),"Jun 9, 2017",Inspection,1000 BAY ST
3,17 176257 PLB 00,Plumbing(PS),"Jun 9, 2017",Inspection,1000 BAY ST
4,17 132963 BLD 00,Building Additions/Alterations,"Mar 24, 2017",Inspection,1000 BAY ST
5,17 132963 HVA 00,Mechanical(MS),"Mar 24, 2017",Inspection,1000 BAY ST
6,17 132963 PLB 00,Plumbing(PS),"Mar 24, 2017",Inspection,1000 BAY ST
7,16 248508 HVA 01,Mechanical(MS),"Jan 25, 2017",Revision Issued,1000 BAY ST
8,16 248508 HVA 00,Mechanical(MS),"Nov 10, 2016",Inspection,1000 BAY ST
9,16 248508 BLD 00,Building Additions/Alterations,"Nov 9, 2016",Inspection,1000 BAY ST
10,13 196560 BLD 01,New Building,"Aug 4, 2016",Revision Issued,1000 BAY ST
11,16 100398 FSU 01,Fire/Security Upgrade,"Mar 22, 2016",Revision Issued,1000 BAY ST
12,16 100398 FSU 00,Fire/Security Upgrade,"Jan 8, 2016",Inspection,1000 BAY ST
13,13 196560 BLD 00,New Building,"Jul 2, 2013",Inspection,1000 BAY ST
14,13 196560 HVA 00,Mechanical(MS),"Jul 2, 2013",Inspection,1000 BAY ST
15,13 196560 PLB 00,Plumbing(PS),"Jul 2, 2013",Inspection,1000 BAY ST
16,13 196560 DRN 00,Drain and Site Service,"Jul 2, 2013",Inspection,1000 BAY ST
0,22 111630 BLD 00,Building Additions/Alterations,"Feb 7, 2022",Permit Issued,1001 BAY ST
1,21 197723 DST 00,Designated Structures,"Aug 13, 2021",Permit Issued,1001 BAY ST
2,21 197723 SGN 00,Sign Permit,"Aug 12, 2021",Permit Issued,1001 BAY ST
3,18 182196 BLD 01,Building Additions/Alterations,"Nov 19, 2018",Revision Issued,1001 BAY ST
4,18 191578 BLD 00,Building Additions/Alterations,"Jul 10, 2018",Permit Issued,1001 BAY ST
5,18 182196 BLD 00,Building Additions/Alterations,"Jun 21, 2018",Permit Issued,1001 BAY ST
0,19 152336 STS 00,Drain and Site Service,"May 10, 2019",Inspection,1020 BAY ST
0,22 219246 PLB 00,Plumbing(PS),"Nov 1, 2022",Inspection,1033 BAY ST
1,22 195412 HVA 00,Mechanical(MS),"Aug 25, 2022",Inspection,1033 BAY ST
2,21 240937 PLB 00,Plumbing(PS),"Apr 6, 2022",Permit Issued,1033 BAY ST
3,21 240937 BLD 01,Building Additions/Alterations,"Jan 27, 2022",Revision Issued,1033 BAY ST
4,21 240937 BLD 00,Building Additions/Alterations,"Dec 6, 2021",Inspection,1033 BAY ST
0,16 105683 BLD 00,Building Additions/Alterations,"Jan 18, 2016",Permit Issued,1055 BAY ST
1,15 233590 FSU 00,Fire/Security Upgrade,"Nov 3, 2015",Permit Issued,1055 BAY ST
2,15 159980 BLD 00,Building Additions/Alterations,"May 20, 2015",Permit Issued,1055 BAY ST
0,20 118525 HVA 00,Mechanical(MS),"Feb 26, 2020",Permit Issued,1080 BAY ST
1,20 118525 BLD 00,Building Additions/Alterations,"Feb 24, 2020",Permit Issued,1080 BAY ST
0,22 128018 BLD 00,Building Additions/Alterations,"Mar 31, 2022",Permit Issued,1099 BAY ST
1,20 120947 BLD 00,Building Additions/Alterations,"Mar 2, 2020",Permit Issued,1099 BAY ST
2,17 253404 HVA 00,Mechanical(MS),"Nov 14, 2017",Inspection,1099 BAY ST
0,22 138607 BLD 00,Building Additions/Alterations,"Apr 27, 2022",Inspection,1108 BAY ST
1,22 138607 HVA 00,Mechanical(MS),"Apr 27, 2022",Inspection,1108 BAY ST
2,22 138607 PLB 00,Plumbing(PS),"Apr 27, 2022",Inspection,1108 BAY ST
0,22 193652 FSU 00,Fire/Security Upgrade,"Aug 22, 2022",Permit Issued,1132 BAY ST
1,16 236181 PSA 00,Plumbing(PS),"Oct 12, 2016",Permit Issued,1132 BAY ST
0,15 144319 BLD 00,Building Additions/Alterations,"Apr 21, 2015",Inspection,1140 BAY ST
0,22 194482 BLD 00,Building Additions/Alterations,"Aug 24, 2022",Permit Issued,1166 BAY ST
1,19 256362 BLD 00,Building Additions/Alterations,"Dec 11, 2019",Inspection,1166 BAY ST
2,19 220648 BLD 00,Building Additions/Alterations,"Sep 13, 2019",Permit Issued,1166 BAY ST
3,19 174676 BLD 00,Building Additions/Alterations,"Jun 20, 2019",Permit Issued,1166 BAY ST
0,16 127766 BLD 00,Building Additions/Alterations,"Mar 15, 2016",Permit Issued,1170 BAY ST
0,21 220697 BLD 00,Building Additions/Alterations,"Oct 20, 2021",Inspection,1200 BAY ST
1,21 220697 HVA 00,Mechanical(MS),"Oct 20, 2021",Inspection,1200 BAY ST
2,20 130894 PLB 01,Plumbing(PS),"Sep 16, 2020",Revision Issued,1200 BAY ST
3,20 130894 BLD 00,Building Additions/Alterations,"Apr 9, 2020",Inspection,1200 BAY ST
4,20 130894 HVA 00,Mechanical(MS),"Apr 9, 2020",Inspection,1200 BAY ST
5,20 130894 PLB 00,Plumbing(PS),"Apr 9, 2020",Inspection,1200 BAY ST
6,18 220776 BLD 00,Building Additions/Alterations,"Sep 6, 2018",Inspection,1200 BAY ST
7,18 185699 BLD 00,Building Additions/Alterations,"Jun 28, 2018",Inspection,1200 BAY ST
